"id","en_label","en_description","enwiki_title"
"30122587","Mike Tyson","American football safety","Mike Tyson (American football)"
"37376578","Paola Dugo","researcher",""
"22691012","Adalbert II, Count of Bogen","",""
"72245","Thomas Bach","9th president of the International Olympic Committee since 2013","Thomas Bach"
"2832952","Alex Gibney","American film director and producer","Alex Gibney"
"506198","Henry Thomas","American actor","Henry Thomas"
"1294719","Sebastian Czaja","German politician","Sebastian Czaja"
"100934716","Henry Thomas","college basketball player (1991–1991) Kentucky",""
"313520","Naldo","Brazilian footballer (1982–)","Naldo (footballer, born 1982)"
"76762223","Susann Beucke","German sailor","Susann Beucke"
"75460994","Amy Arabella Adams","(1876-1922)",""
"111438499","Loona Scandi","Finnish webcam model",""
"60675889","James Wanene","Kenyan boxer","James Wanene"
"451753","Mary Katharine Brandegee","American botanist (1844-1920)","Mary Katharine Brandegee"
"54860790","Deb Haaland","American politician from New Mexico; 54th U.S. Secretary of the Interior","Deb Haaland"
"5107425","Chris McKenna","American television producer and writer","Chris McKenna (writer)"
"75278460","Edgar Wright Wakefield","Peerage person ID=32973",""
"75958786","Antony Ross Moore","(1918-2000)",""
"158067","Vivienne Westwood","British fashion designer (1941–2022)","Vivienne Westwood"
"57415966","Charlene M Kahler","researcher ORCID id 0000-0003-4322-3055",""
"97656750","Gabriel Coquelin","French sculptor of the second half of the 19th and first half of the 20th century, native of Aix-en-Provence, professor at the School of Fine Arts in Rennes",""
"1644828","Albert II. Krummendiek","German civil law notary",""
"111669650","Mike Jackson","American professional wrestler","Mike Jackson (wrestler)"
"45578837","Wang Yi","Ming dynasty person CBDB=126526",""
"212762","Burt Bacharach","American pianist, composer, producer (1928–2023)","Burt Bacharach"
"12881818","Nikos Kotzias","Greek politician and academic","Nikos Kotzias"
"114397361","Jorge García","Mexican footballer","Jorge García (footballer, born 2002)"
"17319958","Martin Macfadyen","father of Matthew Macfadyen",""
"319133","Chaim Topol","Israeli actor","Chaim Topol"
"50737316","Elif Engin","researcher",""
"60779220","David Cameron","Australian actor",""
"100758112","David Bradley","college basketball player (1981–1981) San Diego State",""
"38054459","Elvira Lind","Danish film director","Elvira Lind"
"108374730","Susan Geston","",""
"42152178","Adele L. Boskey","researcher",""
"104176931","Stanislav Makshakov","Russian military scientist",""
"84512280","Antonio Costa","researcher (ORCID 0000-0001-9284-0098)",""
"105905997","Anne","Est 1545 - Bef 10 Jan 1618 (date will proven)",""
"2960460","Charles Winkler","American television and film director and producer","Charles Winkler"
"15480190","Konny Reimann","German entrepreneur",""
"24266627","Jasmin Savoy Brown","American actress","Jasmin Savoy Brown"
"86344886","Veronika Grimm","German economist and university professor",""
"103991895","Vinod Adani","older brother of Gautam Adani","Vinod Adani"
"83196399","Sergio Fernández-Pello","researcher",""
"16203380","Sam Cox","British actor","Sam Cox (actor)"
"211785","Mikhail Saltykov-Shchedrin","Russian writer, journalist, plawright and satirist","Mikhail Saltykov-Shchedrin"
"18684239","Adria Arjona","Puerto Rican actress","Adria Arjona"
"18628471","Lars Harms","Swiss squash player","Lars Harms (squash player)"
"8004142","William Adams","English cricketer, born 1885","William Adams (cricketer, born 1885)"
"40236105","Jean-Philbert Nsengimana","politician","Jean-Philbert Nsengimana"
"110213246","Leslie Mann","(1923-1977)",""
"60668917","Lisa-Lena Tritscher","Austrian film actress",""
"311637","Louis Philippe II, Duke of Orléans","French duke (1747-1793)","Louis Philippe II, Duke of Orléans"
"64690896","Alexander Graf von Lambsdorff","",""
"28751940","Letizia Borghesi","Italian cyclist","Letizia Borghesi"
"20804711","Henry Thomas","Welsh Methodist exhorter and Independent minister",""
"42148740","Ronaldo Lopes Oliveira","researcher",""
"79628698","Juanes Sasiain barrena Aldabalde","1647-07-05",""
"104638287","Christian Meyer","Born 1838, in Germany; died 15 April 1907, in Brooklyn (New York City), USA. German, Painter.",""
"155608","Charlotte I, Grand Duchess of Luxembourg","Monarch of Luxembourg (1919 to 1964)","Charlotte, Grand Duchess of Luxembourg"
"62565789","Alexias Safi","researcher",""
"21028400","Billy","an enslaved African-American man charged with treason during the American Revolution","Billy (slave)"
"2615836","Daniel McCallum","Canadian engineer and early organizational theorist","Daniel McCallum"
"29642391","David Bradley","professor of tropical medicine",""
"52332976","Indya Moore","American actress and model","Indya Moore"
"113561951","Victoria Verstappen","sister of Max Verstappen",""
"102757181","Thomas Heinze","Dr. rer. nat. Friedrich-Schiller-Universität Jena 2013",""
"95208232","Barbara Meier","",""
"57984749","David Arnold","researcher, ORCID id # 0000-0003-3158-7740",""
"95036128","Karl Mayr","(1774-1855)",""
"75264819","Elizabeth Chambers","Peerage person ID=22247",""
"6377709","Kevin McCarthy","Canadian former professional ice hockey player","Kevin McCarthy (ice hockey)"
"79442193","Ivan Fernández","researcher",""
"7364295","Ron Reagan","American politician","Ron Reagan (Florida politician)"
"16151633","David Bradley","American politician","David Bradley (politician)"
"4790207","Arian Moayed","American actor and writer","Arian Moayed"
"2061888","Paul Richard Blum","German philosopher",""
"60827977","Daniel MacCarthy","London-born Irish writer","Daniel MacCarthy Glas"
"958431","Henri Cassini","French botanist (1781-1832)","Henri Cassini"
"115484921","Jeremy Fragrance","",""
"54721374","Nadja Møbjerg","researcher",""
"43301642","Jorge García Díaz","Spanish politician, member of Partido Popular",""
"1429658","Florian Fischer","Austrian cyclist",""
"94916311","David Laurentius","",""
"70429","Hermann Gröhe","German politician","Hermann Gröhe"
"75454047","Hugh Evans","Peerage person ID=152002",""
"3765059","M. M. Keeravani","Indian music composer and singer","M. M. Keeravani"
"102187024","Jerome E. Powell","Ph.D. Columbia University 1977",""
"102275212","Bernd Adolf Buchholz","Dr. rer. nat. Technische Universität Dresden 1984",""
"23772157","Akash Ambani","Chairman of Reliance Jio","Akash Ambani"
"61749588","Klaus Ernst von Platen","",""
"18637716","Stella Maxwell","Model","Stella Maxwell"
"5729161","Henry Thomas Ryall","artist (1811-1867)","Henry Thomas Ryall"
"96624651","Manuel Cortez Joo","",""
"1699438","John Bryan Taylor","British physicist","John Bryan Taylor"
"109607489","Gerhard Schröder","German taxidermist (1896–1945)",""
"109936552","William Ernest Gordon Leith","barrister",""
"400686","Ahmad Mansour","Iranian-American jazz musician",""
"48967","Katrin Göring-Eckardt","German politician","Katrin Göring-Eckardt"
"5387165","Eric Naposki","American football player and convicted murderer (born 1966)","Eric Naposki"
"84346121","Priti Adani","Chairperson of Adani Foundation","Priti Adani"
"941751","Lapo Elkann","Italian businessman","Lapo Elkann"
"113241981","Beyonce DeFreitas","",""
"83219129","Michael Bloomfield","researcher",""
"97508","Miroslav Nemec","German actor",""
"2073728","Catherine of Sweden, Countess Palatine of Kleeburg","Foster-mother of Queen Christina of Sweden","Catherine of Sweden, Countess Palatine of Kleeburg"
"78897285","Jesse Williams","composer and musical director",""
"232298","Barbara Eden","American actress and singer","Barbara Eden"
"90042","René Benko","Austrian entrepreneur and investpr, Chairman of SIGNA Holding","René Benko"
"57078941","Eugene A Grossi","researcher",""
"8853537","Gordon Brown","Australian politician (1885-1967)","Gordon Brown (Australian politician)"
"91528470","Andrew Morton","researcher (ORCID 0000-0001-9432-9509)",""
"19300851","Vladimir Spiridonovich Putin","father of the president of Russia (1911-1999)",""
"1088039","Saint Silvia","mother of Gregory the Great","Saint Silvia"
"87940216","Dahyun Yum","researcher",""
"100788251","Todd Fields","college basketball player (1997–2001) Baylor; Hawaii",""
"75858150","Richard Samuel Power Browning","Peerage person ID=360098",""
"3122558","Gwennole Le Menn","French lexicographer","Gwennole Le Menn"
"467690","Nancy Wilson","American singer (1937-2018)","Nancy Wilson (jazz singer)"
"2434235","Tim Raue","German cook","Tim Raue"
"940531","Hiroshi Abe","Japanese actor and model (1964-)","Hiroshi Abe (actor)"
"110818222","Mark Fassbender","German-Irish-English actor and racing driver",""
"44155502","John Oliver Roberts","British naval officer","John Roberts (Royal Navy officer)"
"112034388","Lesley Paterson","actress",""
"2042","Charles de Gaulle","President of France from 1959 to 1969","Charles de Gaulle"
"1388327","Pelé","Cape Verdean association football player","Pelé (footballer, born 1978)"
"10349859","Pink","Brazilian association football player",""
"233984","Tsai Ing-wen","President of Taiwan (R.O.C. authorities) and former Chairperson of the Democratic Progressive Party","Tsai Ing-wen"
"75971009","Donal Carlos William Ross O'Connell","(1940-1940)",""
"4636","Barbra Streisand","American singer and actress","Barbra Streisand"
"584767","Antje Kapek","German politician","Antje Kapek"
"28025991","Paul Richter","Austrian politician (1877-1958)",""
"64917832","Thomas Müller","professor and researcher in theoretical philosophy",""
"75519752","James Taylor","person fl. in the 18th century",""
"94894160","Christian Friedel","",""
"96963088","Gordon Brown","",""
"28036864","Anne-Marie Glenny","researcher",""
"63500703","Philippos Mourikis","researcher",""
"229220","Maria Bello","American actress and writer","Maria Bello"
"96432040","Mohamed Khaled Salahou","researcher",""
"96684634","Michael N Cohen","researcher",""
"112378276","Ulrich Schneider","",""
"312712","Mark Strong","British actor","Mark Strong"
"75373007","Peter Paul Keglevich","Hungarian noble (born 1908)",""
"33109390","Éric Miné","French politician",""
"5982372","Ian McShane","Scottish footballer (born 1992)","Ian McShane (footballer)"
"242348","Princess Alexia of Greece and Denmark","Greco-Danish princess; eldest child of Constantine II and Anne-Marie of Denmark","Princess Alexia of Greece and Denmark"
"15459513","George Ezra","English singer-songwriter","George Ezra"
"24455611","Auliʻi Cravalho","American actress and singer","Auliʻi Cravalho"
"102782004","Thomas Müller","Dr. oec. publ. Ludwig-Maximilians-Universität München 2003",""
"102253505","Ulrich-Walter Benz","Dr. rer. pol. Universität Stuttgart 1974",""
"724795","Jason Moore","American film, television, and theater director","Jason Moore (director)"
"71635","Omid Nouripour","Iranian-German politician","Omid Nouripour"
"1697062","Johanne Modder","German politician","Johanne Modder"
"4066455","Amanda Anka","American movie, television and voice actress",""
"260597","Veronica Maggio","Swedish singer","Veronica Maggio"
"21537472","Ernest James Theodore (Theo) Mashman","(1895-1964) potter",""
"236549","Helene Fischer","German singer","Helene Fischer"
"298682","Djimon Hounsou","Beninese-American actor","Djimon Hounsou"
"58148238","Charlene Elliott","researcher, ORCID id # 0000-0003-2615-2144",""
"2562581","Werner Schwärzel","",""
"296265","Filippino Lippi","Italian painter (1457–1504)","Filippino Lippi"
"47509542","Rumi Carter","daughter of Beyoncé and Jay-Z",""
"82297933","Sinan Sahin","researcher",""
"56489569","Signy Thoroddsen","mother of Iceland's prime minister Katrín Jakobsdóttir",""
"204590","Christian Slater","American actor","Christian Slater"
"14946953","John Lee","British Labour Party politician (1927-2020)","John Lee (Labour politician)"
"75597335","Janet Jackson","Peerage person ID=234029",""
"310300","James Taylor","American singer and guitarist","James Taylor"
"116452453","Sarah Burns","Miss Missouri 1961",""
"28681917","Suzanne Müller","Swiss rhythmic gymnast","Suzanne Müller"
"221535","Eddie Vedder","American singer and guitarist","Eddie Vedder"
"59544181","Thomas E Müller","researcher ORCID ID = 0000-0002-9126-7653",""
"91839504","Paul Smith","researcher (ORCID 0000-0002-5141-1577)",""
"3336838","Chantal Hochuli","Swiss socialite and heiress",""
"41032909","Mark Strong","Irish English artist",""
"1222671","Dieter Reiter","Mayor of Munich","Dieter Reiter"
"216382","Wolfgang Bahro","German actor","Wolfgang Bahro"
"32849","Akon","Senegalese American singer, songwriter, record producer, and entrepreneur","Akon"
"298371","Garrett Hedlund","American actor","Garrett Hedlund"
"167236","Frederick Henry of Orange-Nassau","Prince of Orange and Stadtholder of Holland (1584-1647)","Frederick Henry, Prince of Orange"
"17487711","Jakub Jankto","Czech footballer (born 1996)","Jakub Jankto"
"55193100","Peter Frank","",""
"2056661","Jason Cruz","American musician","Jason Cruz"
"55228466","Filippo Grazioli","",""
"96322096","Kaspar Remigi Keyser","(1711-1789)",""
"151813","F. W. de Klerk","7th state president of South Africa from 1989 to 1994","F. W. de Klerk"
"100983057","Michael Jackson","American college basketball player (born August 1979)",""
"2432008","Alexander Funk","Swiss politician (1806-1871)",""
"55129212","Klaus Müller","German architect, active 20th century",""
"229313","Jessica Chastain","American actress and producer","Jessica Chastain"
"100880191","Steve Martin","college basketball player (1976–1979) Georgetown",""
"106632610","Jessica Albano","American librarian",""
"65920506","Jeong Da-hyun","South Korean singer",""
"5536839","George Beck","American artist (1749-1812)","George Beck (artist)"
"7174053","Peter Fox","Canadian politician (1921-1989)","Peter Fox (Canadian politician)"
"108568275","Edward","bishop of  the roman-catholic church",""
"98384892","Bingbing Fan","researcher",""
"20390660","Umayya ibn Abdallah ibn Khalid ibn Asid","","Umayya ibn Abdallah ibn Khalid ibn Asid"
"6586209","Ricky Martinez","Dominican Republic pornographic actor & model",""
"94508596","Daniel MacMorris","American artist, 1893-1981",""
"263725","Janet Yellen","78th United States secretary of the treasury","Janet Yellen"
"254947","Riley Keough","American actress","Riley Keough"
"4124883","Ronnie Von","Brazilian singer and TV presenter","Ronnie Von"
"55998366","Robin Wright","",""
"105964152","Jan Ullrich","",""
"1304824","Wally Wood","American comic strip cartoonist and illustrator","Wally Wood"
"16153065","John M. Carpenter","American nuclear engineer (1935-2020)","John M. Carpenter"
"102101678","Elmedin Konaković","Bosnian politician","Elmedin Konaković"
"29571961","Jackie Carney","Irish Gaelic footballer and trainer","Jackie Carney"
"6140173","James Murphy","Canadian lawyer and political figure in British Columbia","James Murphy (Canadian politician)"
"76717","Claudia Schiffer","German model","Claudia Schiffer"
"45523900","Zang Ye","Tang dynasty person CBDB = 141333",""
"52739513","Letizia Canu","researcher",""
"4765882","Anjul Nigam","Indian actor","Anjul Nigam"
"85676920","Rania S Elkitkat","researcher",""
"63823077","Oliver Christ","",""
"212064","Channing Tatum","American actor","Channing Tatum"
"1520505","Margherita Missoni","Italian model and businesswoman","Margherita Missoni"
"235519","Connie Britton","American actress","Connie Britton"
"25095399","21 Savage","American rapper from Atlanta, Georgia","21 Savage"
"72208245","Klaus Hinrichsen","German art historian",""
"102672994","Christian Meyer","Ph.D. Universität Bern 1983",""
"45065","Benjamin I. Schwartz","American sinologist (1916–1999)","Benjamin I. Schwartz"
"76669089","Sofia Oliveira","Brazilian singer",""
"16110522","Sida Košutić","Croatian writer, poet, journalist and newspaper editor (1902-1965)","Sida Košutić"
"76342276","James Murray","Peerage person ID=701720",""
"12223486","Abdallah ibn Khalid ibn Asid","member of the Umayyad dynasty","Abdallah ibn Khalid ibn Asid"
"75289294","Carl Philipp von Anhalt","(died 1806)",""
"100890368","Bill Nelson","college basketball player (1983–1984) North Texas",""
"96223756","Daniel Mangle (Mengle)","Abt 1814 Pennsylvania -",""
"1141271","Yoshimasa Hayashi","Japanese politician","Yoshimasa Hayashi"
"116312453","Jimmy James","Guyanese politician",""
"17487623","Olivia Duddy","daughter of Joely Fisher",""
"507912","Andrew Taylor","Australian painter and printmaker","Andrew Taylor (painter)"
"102345539","Michael Müller","Ph.D. Friedrich-Schiller-Universität Jena 2008",""
"60153","Otto Graf Lambsdorff","German politician (1926–2009)","Otto Graf Lambsdorff"
"15077856","Sigrid Kaag","Dutch diplomat and politician","Sigrid Kaag"
"18122000","MJ Williams","Welsh association football player","MJ Williams"
"1358202","Ludwig Göransson","Swedish composer, conductor and record producer","Ludwig Göransson"
"42576741","Loredana G. Marcu","researcher",""
"185724","Mike Myers","Canadian actor, comedian and filmmaker","Mike Myers"
"230268","Jane Krakowski","American actress and singer, comedian","Jane Krakowski"
"30112517","Jim Leebens-Mack","botanist and university teacher",""
"75490026","Patrick Stewart-Blacker","Peerage person ID=173304",""
"95329951","Bert Wollersheim","",""
"3218669","Laura Carmichael","English actress","Laura Carmichael"
"8032154","Wood","baseball player","Wood (baseball)"
"6396454","Kevin Hartnett","Irish hurler","Kevin Hartnett"
"1690165","Joachim Herrmann","German prehistorian archaeologist","Joachim Herrmann (archaeologist)"
"116688282","Christian Mölling","",""
"22097002","Heidi K. Gardner","","Heidi K. Gardner"
"55298106","Charlene S Dezzutti","researcher",""
"15830127","Jan Bedřich Novák","",""
"112822253","Thomas Müller","German artist (born 1951)",""
"28056797","Coco Arquette","daughter of Courteney Cox and David Arquette",""
"2062055","Paul Ruddock","British businessman and philanthropist","Paul Ruddock"
"16197702","Stephen Bowen","American politician","Stephen Bowen (politician)"
"271500","Tessa Thompson","American actress","Tessa Thompson"
"75329151","Franziskus Baron Heereman von Zuydtwyck","(born 1976)",""
"254894","Naomi Scott","British actress, singer, musician, dancer","Naomi Scott"
"75505201","Catherine Martin","Peerage person ID=182262",""
"97450","Christian Meyer","German politician","Christian Meyer (politician)"
"26254609","Manuel Garcia-Rulfo","Mexican actor and model","Manuel Garcia-Rulfo"
"272019","Don Cheadle","American actor and filmmaker","Don Cheadle"
"115791169","Naruhito Nakada","Japanese actor",""
"113722303","August Miklos Friedrich Hermann","son of Mariska Hargitay",""
"263360","Beatrix Loughran","figure skater (1900-1975)","Beatrix Loughran"
"21622122","Maren Morris","American country singer","Maren Morris"
"115950025","Carla Hinrichs","",""
"75263017","George Miller","Peerage person ID=20895",""
"4065799","Andrew","Eastern Orthodox bishop",""
"1710769","Konstantin von Notz","German politician and lawyer","Konstantin von Notz"
"469222","Huma Abedin","long-time aide to Hillary Rodham Clinton","Huma Abedin"
"90783524","Klaus Müller-Buschbaum","researcher (ORCID 0000-0002-2857-8379)",""
"16609955","Taylor Hill","sprinter","Taylor Hill (sprinter)"
"95794960","Idi Diop Abdoulaye","",""
"199945","Alicia Silverstone","American actress","Alicia Silverstone"
"616960","Stephen Amell","Canadian actor","Stephen Amell"
"10468292","Ian Griffiths","British footballer (born 1960)","Ian Griffiths (footballer)"
"1701587","John R. Taylor","British-born American physicist","John R. Taylor"
"855749","Catharina-Amalia, Princess of Orange","heir apparent to the throne of the Kingdom of the Netherlands","Catharina-Amalia, Princess of Orange"
"5528812","Gayle Porter Hoskins","American artist (1887-1962)","Gayle Porter Hoskins"
"37831603","Paola Collini","researcher",""
"1243836","Doreen Steinert","German singer",""
"116036120","Jennifer Morgan","academic",""
"57421346","Ciaran J. Harman","American landscape hydrologist",""
"24856246","Lourdes Leon","American singer",""
"116116906","Mathilde","",""
"263166","Ben Wallace","British politician, UK Defence Secretary","Ben Wallace (politician)"
"47074520","Alexander Hoeller","Austrian stage actor (1930-2019)",""
"112505122","Klaus Müller","",""
"116676054","Kristen Bell","Miss Alabama Teen USA 2005",""
"462628","Varvara Zelenskaya","Olympic alpine skier","Varvara Zelenskaya"
"291874","Ayda Field","American actress and model","Ayda Field"
"16701497","Serhii Kyslytsia","Ukrainian diplomat","Sergiy Kyslytsya"
"23020336","Mohammed bin Abdulrahman Al Thani","Prime Minister of the State of Qatar","Mohammed bin Abdulrahman bin Jassim Al Thani"
"3369258","Ylva Johansson","Swedish politician","Ylva Johansson"
"22977806","Scarlet Rose Stallone","actress",""
"111956800","Ana María de Armas y Clós","",""
"46070971","Willis N Bruce","entomologist (1916-2008)",""
"12044817","Petr Bystroň","Czech soccer player",""
"30323739","Amina Titi Atiku-Abubakar","Nigerian politician and activist","Amina Titi Atiku-Abubakar"
"200566","Cobie Smulders","Canadian actress and former model","Cobie Smulders"
"3068702","Ferdinand von Parseval","Bavarian general (1791-1854)","Ferdinand von Parseval"
"712502","Prince Henri, Duke of Aumale","French political figure (1822-1897)","Henri d'Orléans, Duke of Aumale"
"2591227","Wolfgang Schmidt","German politician",""
"26921822","Paul Walter Hauser","American actor","Paul Walter Hauser"
"102195163","Jonathan Scott Greenfield","Ph.D. Syracuse University 1993",""
"3615351","Anders Ohlsson","footballer","Anders Ohlsson"
"873499","Haim Harari","Israeli physicist","Haim Harari"
"41788561","Jack Grealish","Irish hurler","Jack Grealish (hurler)"
"3809923","Jonathan Goodwin","American football player, offensive lineman","Jonathan Goodwin (American football)"
"41537246","Ciaran M Lee","researcher",""
"56248537","Michael Müller","association football player","Michael Müller (footballer, born 1944)"
"75263516","Rachel Lindsay","Peerage person ID=21267",""
"200305","Milo Đukanović","President of Montenegro","Milo Đukanović"
"76263204","Leslie Grace Wiggett","(1897-1969)",""
"114457717","Hans Niemann","",""
"6272852","Jonathan Cross","Footballer (born 1975)","Jonathan Cross"
"16213101","Jack Gleeson","Irish hurler","Jack Gleeson (hurler)"
"76351731","Robert Wood","Peerage person ID=706920",""
"2415495","Aminata Touré","Senegalese prime minister","Aminata Touré (Senegalese politician)"
"61064423","Volker Beckmann","researcher ORCID ID = 0000-0001-6595-7995",""
"89395535","Deborah Cox","researcher (ORCID 0000-0003-2521-5860)",""
"66836410","Jon Luke Kirby","English professional rugby league footballer","Jon Luke Kirby"
"97388806","Luise Fuckface","German singer and musician",""
"556844","Anke Rehlinger","German politician","Anke Rehlinger"
"75738576","James Murphy","(1769-1855)",""
"165637","Renée Fleming","American opera soprano","Renée Fleming"
"8012005","William Henry Golding","Canadian politician","William Henry Golding"
"18730995","James Murray","Murray, James (1702–1758), Church of Scotland minister",""
"214705","Heinz Winkler","Italian chef","Heinz Winkler (chef)"
"91128119","Jessica Williams","researcher (ORCID 0000-0003-4416-5117)",""
"131234","Toni Kroos","German association football player","Toni Kroos"
"75378270","Franziskus Freiherr von Ketteler","(born 1969)",""
"100486772","Ian Hartland","New Zealand cricketer (1939-1992)","Ian Hartland"
"6397517","Kevin Smith","Scottish professional footballer (born 1987)","Kevin Smith (footballer, born 1987)"
"2834112","Alexandre Vauthier","French haute couture fashion designer","Alexandre Vauthier"
"99472463","Harry K. Allen","state Senator & American judge","Harry K. Allen"
"92350","Janine Kunze","actress","Janine Kunze"
"56285034","Jan Philipp Burgard","Chief Editor - WeltN24",""
"1786850","Paul Mara","American ice hockey player","Paul Mara"
"102437967","Michael Cohen","Ph.D. Northwestern University 1991",""
"18729975","Andrew Morton","English portrait painter","Andrew Morton (painter)"
"59296016","Nadja Nikolic","researcher ORCID ID = 0000-0002-8513-9313",""
"18213412","Toorpekai Yousafzai","mother of Malala Yousafzai",""
"2834405","Alexia Stresi","French actress",""
"15729575","Marc Klok","Indonesian footballer","Marc Klok"
"3713619","Donald Bain","American writer","Donald Bain (writer)"
"1759142","Sophia von Formbach","(1050-1088)","Sophia of Formbach"
"89928867","Christian Meyer","researcher (ORCID 0000-0003-0217-3960)",""
"76247703","Christine Taylor","Peerage person ID=634970",""
"6274366","Jonathan Scott Hartley","United States sculptor","Jonathan Scott Hartley"
"72960434","Amy Irwin McCormick","American painter and art patron (1880-1939)",""
"5577","Salvador Dalí","Spanish artist (1904-1989)","Salvador Dalí"
"22997426","Akshata Murty","Indian businesswoman","Akshata Murty"
"345","Virgin Mary","religious figure; mother of Jesus of Nazareth","Mary, mother of Jesus"
"16297","William Shatner","Canadian actor","William Shatner"
"271177","Harriet Walter","British actress","Harriet Walter"
"112898375","Silvia Costantini","",""
"6218463","John Albert Taylor","American murderer (1959-1996)","John Albert Taylor"
"64935668","Juan Carlos Arango-Lasprilla","researcher",""
"47498956","Masako Ono-Kihara","",""
"65022","Ellen von Unwerth","German photographer","Ellen von Unwerth"
"105871954","Margaret","",""
"1174477","David Frost","professional golfer","David Frost (golfer)"
"15987686","Imran Khan","British kickboxer","Imran Khan (kickboxer)"
"4499867","Jorge García Carneiro","Venezuelan politician","Jorge García Carneiro"
"674957","Enrico Letta","Italian politician","Enrico Letta"
"56999106","Mark E Hamill","researcher",""
"217434","Grant Wood","American painter (1891-1942)","Grant Wood"
"19830013","Ji Soo","South Korean actor","Ji Soo"
"56750081","Tinashe Chiurugwi","researcher",""
"101245962","Anna Kendrick Dana","(30 Apr 1743 - certain 16 Oct 1810)",""
"498628","Andreas Kaiser","German footballer","Andreas Kaiser"
"64940553","Grimes Shirley","",""
"112472253","Pedro Sánchez Farfán","Spanish conqueror",""
"103781075","Sophie","- Aft 1574 Haraldskaer manor, Skibet",""
"28017248","Mónica Cavallé Cruz","Spanish philosopher",""
"91996252","Pamela Anderson","researcher (ORCID 0000-0002-0742-045X)",""
"60061382","Joris R Vermeesch","researcher",""
"5236539","David Levine","American politician","David Levine (politician)"
"75981451","Edward Snowden Smith","Peerage person ID=446605",""
"19300304","Josep Cabré i Borrell","Spanish painter and businessperson (1890-1988)",""
"11771023","Mario Rodríguez","association football player",""
"110684398","Mario Búcaro","Guatemalan diplomat","Mario Búcaro"
"7408179","Sam Smith","American painter, born 1918","Sam Smith (painter)"
"3102235","George","son of David VII of Georgia (1250-1268)","George (son of David VII of Georgia)"
"301818","Aaron Carter","American pop singer (1987–2022)","Aaron Carter"
"111805485","Elton John Bruins","",""
"5392352","Chris Evans","American animator",""
"276525","Paul Rudd","American actor","Paul Rudd"
"60736823","Brian Cox","Australian rugby league footballer","Brian Cox (rugby league)"
"42872905","Letizia Polito","researcher ORCID: 0000-0001-7014-9677",""
"233332","Gigi Fernández","Puerto Rican professional tennis player","Gigi Fernández"
"56152864","Chethrin Schulze","",""
"112492619","Ralph Thiele","",""
"4377426","Vernon Elvis Presley","Father of Elvis Presley. (1916-1979)",""
"235328","Alison Brie","American actress","Alison Brie"
"12044201","Pavel Petr","Czech poet",""
"60664634","Alexis Olympia Ohanian, Jr.","daughter of Alexis Ohanian and Serena Williams",""
"76264632","James Cameron","(1776-1865)",""
"109943","Robert Habeck","German politician","Robert Habeck"
"54561773","George","",""
"114771763","Karen Murphy","United States information professional and administrator",""
"510970","Daniel Kaluuya","British actor (born 1989)","Daniel Kaluuya"
"29319183","Alan Gagloyev","president of South Ossetia","Alan Gagloev"
"7381166","Russ Laribee","American baseball player","Russ Laribee"
"18124107","Wang Yi","Chinese official during Ming dynasty, born 1425",""
"57394191","Nadja C. Bigall","researcher",""
"108554504","William","catholic bishop of Emly",""
"230744","Anna Wintour","English magazine editor","Anna Wintour"
"6200523","Jimmy Kelly","association football player","Jimmy Kelly (Northern Ireland footballer)"
"11958258","Anne Haug","Norway politician",""
"106747","Burkhard Jung","German politician","Burkhard Jung"
"497370","Andreas Gabalier","Austrian folk singer","Andreas Gabalier"
"5232676","David Croll","Canadian politician","David Croll"
"100924763","Sam Smithson","college basketball player (2010–2012) Western Carolina",""
"87037484","Lennart Thomas Bach","researcher",""
"100880956","Karl May","college basketball player (1976–1976) Drake",""
"2686520","Kevin Hartley","Australian golfer (1934-2020)","Kevin Hartley"
"28816483","Khalid","American singer (born 1998)","Khalid (singer)"
"16027591","Paris Jackson","Player of American and Canadian football","Paris Jackson (Canadian football)"
"229181","Viola Davis","American actress","Viola Davis"
"60315296","Charlene Africa","researcher ORCID ID = 0000-0002-3451-3408",""
"7859785","Ty Dolla $ign","American singer","Ty Dolla Sign"
"348043","Egils Levits","Latvian judge, jurist and politician","Egils Levits"
"105682","Tom Felton","English actor and singer","Tom Felton"
"3218986","Laurent","Belgian comics artist",""
"76354608","Sam Smith","(1887-1944)",""
"104766242","Martha Louise Seegall","German Jewish art collector, refugee and claimant in looted art case (1899 - 1968)",""
"7613282","Steve Martin Caro","Spanish-American musician (1948-2020)","Steve Martin Caro"
"109227464","Louise Wong","Hong Kong actress and model","Louise Wong"
"55688726","María Bellosta Martínez","",""
"111264400","Lucy","South Korean pop singer, born 2004",""
"7608821","Stephen Butcher","Royal Marine (1904-2005)","Stephen Butcher (Royal Marine)"
"3194619","Keely Shaye Smith","American journalist","Keely Shaye Smith"
"18017253","Janelle Kidman","mother of Nicole Kidman",""
"95692204","Diamond Cafe","Canadian recording artist","Diamond Cafe"
"15392264","Frans Timmerman","",""
"40504","Jim Carrey","Canadian actor","Jim Carrey"
"109858307","Pedro Sánchez","",""
"93230856","Michael Dörnemann","German priest (1969-)",""
"16019699","Neil Harrison","Canadian male curler and coach","Neil Harrison (curler)"
"234458","Irina Shayk","Russian model","Irina Shayk"
"7807075","Timothy Britten Parker","American actor; brother of Sarah Jessica Parker","Timothy Britten Parker"
"6196347","Jim Lee","Taiwanese record producer","Jim Lee (record producer)"
"18691585","Reinhard Marx","",""
"99165566","John Robert Burke","",""
